# Altitude (m),Position East of launch (m),Position North of launch (m)
3755.9,356.02,9238.5
3750.5,356.07,9244.9
3745,356.13,9251.2
3739.5,356.18,9257.5
3734.1,356.24,9263.8
3728.5,356.29,9270.1
3723,356.35,9276.4
3717.5,356.4,9282.6
3711.9,356.45,9288.9
3706.4,356.5,9295.2
3700.8,356.56,9301.4
3695.2,356.61,9307.7
3689.5,356.66,9313.9
3683.9,356.71,9320.1
3678.2,356.76,9326.4
3672.6,356.8,9332.6
3666.9,356.85,9338.8
3661.2,356.9,9345
3655.4,356.95,9351.2
3649.7,356.99,9357.3
3643.9,357.04,9363.5
3638.2,357.08,9369.7
3632.4,357.13,9375.8
3626.6,357.17,9382
3620.7,357.22,9388.1
3614.9,357.26,9394.3
3609,357.3,9400.4
3603.2,357.34,9406.5
3597.3,357.39,9412.6
3591.4,357.43,9418.7
3585.4,357.47,9424.8
3579.5,357.51,9430.9
3573.5,357.55,9436.9
3567.6,357.58,9443
3561.6,357.62,9449.1
3555.6,357.66,9455.1
3549.5,357.7,9461.2
3543.5,357.73,9467.2
3537.4,357.77,9473.2
3531.4,357.8,9479.2
3525.3,357.84,9485.2
3519.2,357.87,9491.2
3513.1,357.91,9497.2
3506.9,357.94,9503.2
3500.8,357.97,9509.2
3494.6,358,9515.2
3488.4,358.04,9521.1
3482.2,358.07,9527.1
3476,358.1,9533
3469.8,358.13,9538.9
3463.5,358.16,9544.9
3457.2,358.19,9550.8
3451,358.21,9556.7
3444.7,358.24,9562.6
3438.4,358.27,9568.5
3432,358.29,9574.4
3425.7,358.32,9580.3
3419.3,358.35,9586.1
3413,358.37,9592
3406.6,358.39,9597.8
3400.2,358.42,9603.7
3393.7,358.44,9609.5
3387.3,358.46,9615.4
3380.8,358.49,9621.2
3374.4,358.51,9627
3367.9,358.53,9632.8
3361.4,358.55,9638.6
3354.9,358.57,9644.4
3348.4,358.59,9650.2
3341.8,358.61,9655.9
3335.3,358.62,9661.7
3328.7,358.64,9667.4
3322.1,358.66,9673.2
3315.5,358.68,9678.9
3308.9,358.69,9684.7
3302.2,358.71,9690.4
3295.6,358.72,9696.1
3288.9,358.74,9701.8
3282.2,358.75,9707.5
3275.6,358.76,9713.2
3268.8,358.78,9718.9
3262.1,358.79,9724.5
3255.4,358.8,9730.2
3248.6,358.81,9735.9
3241.9,358.82,9741.5
3235.1,358.83,9747.2
3228.3,358.84,9752.8
3221.5,358.85,9758.4
3214.6,358.86,9764
3207.8,358.86,9769.6
3200.9,358.87,9775.2
3194.1,358.88,9780.8
3187.2,358.88,9786.4
3180.3,358.89,9792
3173.4,358.89,9797.5
3166.5,358.9,9803.1
3159.5,358.9,9808.7
3152.6,358.9,9814.2
3145.6,358.91,9819.7
3138.6,358.91,9825.3
3131.6,358.91,9830.8
3124.6,358.91,9836.3
3117.6,358.91,9841.8
3110.5,358.91,9847.3
3103.5,358.91,9852.8
3096.4,358.91,9858.2
3089.3,358.91,9863.7
3082.2,358.9,9869.2
3075.1,358.9,9874.6
3068,358.9,9880.1
3060.9,358.89,9885.5
3053.7,358.89,9890.9
3046.6,358.88,9896.3
3039.4,358.88,9901.8
3032.2,358.87,9907.2
3025,358.86,9912.6
3017.8,358.86,9917.9
3010.5,358.85,9923.3
3003.3,358.84,9928.7
2996,358.83,9934.1
2988.8,358.82,9939.4
2981.5,358.81,9944.8
2974.2,358.8,9950.1
2966.9,358.79,9955.4
2959.5,358.78,9960.7
2952.2,358.77,9966.1
2944.8,358.75,9971.4
2937.5,358.74,9976.7
2930.1,358.72,9981.9
2922.7,358.71,9987.2
2915.3,358.69,9992.5
2907.9,358.68,9997.8
2900.5,358.66,10003
2893,358.65,10008
2885.6,358.63,10014
2878.1,358.61,10019
2870.6,358.59,10024
2863.1,358.57,10029
2855.6,358.55,10034
2848.1,358.53,10040
2840.6,358.51,10045
2833,358.49,10050
2825.5,358.47,10055
2817.9,358.45,10060
2810.3,358.42,10065
2802.7,358.4,10071
2795.1,358.38,10076
2787.5,358.35,10081
2779.9,358.33,10086
2772.2,358.3,10091
2764.6,358.27,10096
2756.9,358.25,10101
2749.2,358.22,10106
2741.5,358.19,10112
2733.8,358.16,10117
2726.1,358.13,10122
2718.4,358.1,10127
2710.6,358.07,10132
2702.9,358.04,10137
2695.1,358.01,10142
2687.3,357.98,10147
