# PML Intruder 38mm J425-13 SW (Up to date)
# 1046 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.2794005,859.0558008,158.3890588,40.8741479,9.0845728,47.1828597,17.9891518
4.316098,864.836502,157.2604045,41.2155494,9.1910145,47.1828607,17.9891564
4.3405551,868.6661068,156.5106743,41.4421409,9.2616643,47.1828613,17.9891594
4.3517793,870.4175466,156.1675115,41.5455792,9.2937086,47.1828616,17.9891607
4.3622577,872.0491573,155.8483953,41.6417907,9.3233682,47.1828618,17.989162
4.3752329,874.0649516,155.4554819,41.7605346,9.3598329,47.1828622,17.9891636
4.3946958,877.079142,154.8709134,41.9381433,9.4142931,47.1828627,17.9891659
4.4238901,881.5791805,154.0032943,42.2044106,9.4964384,47.1828634,17.9891694
4.4453551,884.8716679,153.3708059,42.4005816,9.5576874,47.182864,17.989172
4.4636179,887.6622463,152.8359251,42.5678845,9.6104951,47.1828644,17.9891743
4.4792436,890.0420884,152.3807318,42.7113807,9.6562444,47.1828648,17.9891762
4.4945762,892.3703588,151.9360275,42.8525188,9.7016601,47.1828652,17.989178
4.5124345,895.0735268,151.4199975,43.0172355,9.7551245,47.1828657,17.9891802
4.539222,899.1109772,150.6481172,43.2643736,9.835862,47.1828665,17.9891835
4.5686763,903.526576,149.8017132,43.5350155,9.924197,47.1828672,17.9891871
4.5810601,905.3756774,149.4468063,43.6481809,9.9609189,47.1828676,17.9891885
4.5922779,907.046886,149.1261987,43.7503042,9.9939022,47.1828679,17.9891899
4.6034727,908.7111278,148.8073772,43.8518519,10.0265503,47.1828682,17.9891912
4.6159538,910.5624098,148.4537275,43.9646771,10.0626759,47.1828685,17.9891927
4.6331309,913.1030716,147.9704838,44.1194569,10.112097,47.1828689,17.9891948
4.6588966,916.8985807,147.2529552,44.351184,10.1862149,47.1828696,17.9891979
4.6806947,920.0951987,146.652485,44.5476287,10.2497175,47.1828702,17.9892005
4.6909123,921.5890504,146.3727711,44.6400672,10.2799651,47.1828704,17.9892017
4.699846,922.8928235,146.1290026,44.7211351,10.3067214,47.1828707,17.9892027
4.7082978,924.1242264,145.8989677,44.7980532,10.3323136,47.1828709,17.9892038
4.7171864,925.4171667,145.6575366,44.8791721,10.359511,47.1828712,17.9892048
4.727092,926.8554898,145.388992,44.9698113,10.3901286,47.1828714,17.989206
4.7391606,928.6042446,145.062371,45.0805088,10.4277975,47.1828718,17.9892075
4.7572634,931.2199448,144.5730921,45.2468618,10.4848091,47.1828723,17.9892097
4.7844175,935.1268588,143.8391785,45.4961921,10.5705788,47.1828731,17.989213
4.8002273,937.3923994,143.4117028,45.640763,10.6201698,47.1828735,17.9892149
4.8114377,938.994775,143.1087098,45.7428589,10.6550283,47.1828738,17.9892163
4.8210675,940.3685257,142.848694,45.8302353,10.6847211,47.1828741,17.9892174
4.8301535,941.6624415,142.6038046,45.9123858,10.7125068,47.1828743,17.9892185
4.8391942,942.9477074,142.3607832,45.9938417,10.7399292,47.1828746,17.9892196
4.8486214,944.2856041,142.1082663,46.0784902,10.7682972,47.1828748,17.9892207
4.85903,945.7600347,141.8307816,46.1716389,10.7993815,47.1828751,17.9892219
4.8720307,947.5976369,141.4864361,46.2876157,10.8379466,47.1828755,17.9892235
4.8915318,950.3457033,140.9746252,46.4611165,10.8955563,47.182876,17.9892258
4.9207834,954.4491609,140.2161622,46.7213762,10.9824833,47.1828768,17.9892292
4.9350837,956.4471149,139.8486196,46.8490313,11.0256194,47.1828772,17.9892309
4.9462291,958.0006193,139.5633443,46.9488408,11.0596545,47.1828775,17.9892322
4.9564399,959.4210389,139.3027666,47.0405553,11.0911853,47.1828777,17.9892334
4.9667535,960.8530301,139.0401674,47.1334575,11.1233707,47.182878,17.9892347
4.9780112,962.4129823,138.7541119,47.2351367,11.1588583,47.1828784,17.989236
4.9914163,964.2662491,138.4141166,47.3565079,11.2015249,47.1828787,17.9892376
5.010857,966.9458084,137.921795,47.5328603,11.2639518,47.1828793,17.98924
5.0400181,970.9471672,137.1837885,47.7972422,11.3579216,47.1828801,17.9892434
5.0601116,973.6918198,136.6755675,47.9786715,11.4222594,47.1828807,17.9892459
5.074265,975.6190024,136.3185669,48.1059164,11.4671894,47.1828811,17.9892475
5.0880314,977.4886734,135.9725769,48.229228,11.5105652,47.1828815,17.9892492
5.102892,979.5016321,135.6008621,48.3618736,11.5570633,47.1828819,17.9892509
5.1209149,981.9355935,135.1526716,48.5221966,11.6131025,47.1828824,17.989253
5.146102,985.3236208,134.5314467,48.7455206,11.6910477,47.1828831,17.989256
5.1838827,990.3764651,133.6115425,49.0801718,11.8084069,47.1828842,17.9892604
5.2011731,992.6772897,133.1948738,49.2337885,11.8628874,47.1828847,17.9892625
5.2144356,994.4372007,132.8766488,49.3519833,11.9051702,47.1828851,17.989264
5.2278066,996.2072032,132.5567616,49.4714737,11.9482408,47.1828855,17.9892656
5.2425515,998.1540738,132.2049182,49.60358,11.9962063,47.1828859,17.9892674
5.2612351,1000.6135052,131.7601304,49.7713447,12.05755,47.1828864,17.9892696
5.2892605,1004.2870143,131.0942769,50.0232356,12.1502166,47.1828873,17.9892729
5.3312987,1009.7623209,130.0963023,50.399683,12.288735,47.1828885,17.9892779
5.3438783,1011.392651,129.7977866,50.5115992,12.3296633,47.1828889,17.9892794
5.3550698,1012.8399669,129.5326789,50.6107834,12.3657732,47.1828892,17.9892807
5.3664113,1014.3036616,129.2650644,50.7109297,12.4020786,47.1828895,17.989282
5.3794238,1015.9793277,128.9596149,50.8254342,12.443431,47.1828899,17.9892835
5.3964709,1018.1685646,128.5622754,50.974943,12.4972615,47.1828904,17.9892855
5.4220416,1021.4397972,127.9727466,51.1987125,12.57784,47.1828911,17.9892885
5.4478006,1024.7198867,127.3860293,51.4246214,12.6598974,47.1828919,17.9892914
5.458621,1026.0931735,127.1411894,51.5199317,12.694899,47.1828922,17.9892927
5.4686323,1027.3613984,126.9152567,51.6083923,12.7276215,47.1828925,17.9892939
5.478536,1028.6137257,126.69226,51.6961658,12.7603148,47.1828928,17.989295
5.4887959,1029.9087304,126.4617122,51.7873625,12.7945113,47.1828931,17.9892962
5.4999804,1031.3177115,126.2108444,51.8870577,12.8321395,47.1828934,17.9892976
5.5131502,1032.9731656,125.9157737,52.0047511,12.8768418,47.1828938,17.9892991
5.532905,1035.4490035,125.4731079,52.1816053,12.9443969,47.1828944,17.9893015
5.5625372,1039.1463188,124.8078074,52.4465647,13.0458261,47.1828953,17.989305
5.5803477,1041.3591478,124.4076768,52.6051271,13.1063376,47.1828959,17.9893071
5.5940799,1043.0604468,124.0995072,52.7268831,13.1526168,47.1828963,17.9893087
5.6068179,1044.6348201,123.8142597,52.8394005,13.1952163,47.1828967,17.9893102
5.6194453,1046.1919704,123.5323251,52.9505352,13.2371297,47.182897,17.9893116
5.6327559,1047.8295477,123.2363523,53.0672664,13.2809907,47.1828974,17.9893132
5.6480032,1049.7005918,122.8991813,53.2005218,13.330894,47.1828979,17.9893149
5.6684106,1052.1968669,122.4514041,53.3782998,13.3973119,47.1828985,17.9893173
