# PML Intruder 38 mm J425-13 (Up to date)
# 1049 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.8223334,931.6399783,142.1496489,37.860756,113.8220664,47.1838016,17.989112
4.8342369,933.3135215,141.8310109,37.950067,114.0411258,47.1838036,17.9891132
4.8503516,935.5731012,141.4026593,38.0705474,114.3374061,47.1838063,17.9891148
4.8745236,938.949632,140.7661983,38.2508764,114.7807243,47.1838102,17.9891171
4.9107816,943.985966,139.8225575,38.5220304,115.4417476,47.1838162,17.9891207
4.9265108,946.1602816,139.4162377,38.6402355,115.7267204,47.1838188,17.9891223
4.9436362,948.5204162,138.9754834,38.7693196,116.0357749,47.1838215,17.989124
4.9663972,951.6456566,138.3921679,38.9413155,116.4447689,47.1838252,17.9891263
4.9961609,955.7125874,137.6338195,39.1667109,116.9768347,47.18383,17.9891293
5.0408066,961.7710397,136.5043595,39.5049378,117.7699923,47.1838371,17.9891337
5.0908066,968.4966705,135.2511815,39.8822544,118.6529538,47.1838451,17.9891387
5.1356732,974.4788722,134.139516,40.2190981,119.4409659,47.1838522,17.9891432
5.1856732,981.0872842,132.9156975,40.5929264,120.3140726,47.18386,17.9891481
5.2356732,987.6351084,131.7081757,40.9656847,121.1813848,47.1838678,17.9891531
5.2856732,994.123278,130.5174342,41.3388157,122.0416187,47.1838755,17.989158
5.3163515,998.0750477,129.7941137,41.5685277,122.5654065,47.1838803,17.989161
5.3484713,1002.1889605,129.0417918,41.8097065,123.11052,47.1838852,17.9891642
5.3966511,1008.3148536,127.9191234,42.1715853,123.923088,47.1838925,17.989169
5.4228172,1011.6191816,127.3117734,42.3671649,124.3628257,47.1838964,17.9891716
5.4415012,1013.968931,126.8798476,42.5061264,124.6764306,47.1838992,17.9891734
5.4599739,1016.2841794,126.4549925,42.6429311,124.9861904,47.183902,17.9891753
5.4876241,1019.7351086,125.8252037,42.8470392,125.4488918,47.1839062,17.989178
5.5290995,1024.8792462,124.8925788,43.1536321,126.1389681,47.1839124,17.989182
